Real,Real,AM,ML
11553.0,11553.0,14120.915696542575, 13525.01479257321
8789.0,8789.0,5743.795988731446, 5655.480603152622
11281.0,11281.0,13998.351228058973, 13455.033435627463
11355.0,11355.0,13910.076447254438, 13385.05207868172
11245.0,11245.0,13852.721774406524, 13315.07072173599
11084.0,11084.0,13823.675595266159, 13245.089364790247
11391.0,11391.0,13820.937227100623, 13175.108007844503
11283.0,11283.0,13843.009315539559, 13105.126650898756
11490.0,11490.0,13888.819104683495, 13035.145293953012
11415.0,11415.0,13957.661374136822, 12965.163937007268
11818.0,11818.0,14049.158096073457, 12895.182580061524
11812.0,11812.0,14163.231430189822, 12825.201223115791
9793.0,9793.0,5901.248910833576, 5197.45599173947
12195.0,12195.0,14460.211572750548, 12685.238509224304
12755.0,12755.0,14853.612942695941, 12270.105759905196
12846.0,12846.0,15353.187351259648, 12130.143046013707
14256.0,14256.0,15974.246513169393, 26251.91507351236
15609.0,15609.0,16739.227142238527, 30170.348277195622
17639.0,17639.0,17680.34341215241, 34088.78148087888
19343.0,19343.0,18843.993329578127, 38007.214684562154
24345.0,24345.0,20298.20794299481, 52672.83019047361
81777.0,81777.0,22145.73171918941, 51634.40073971806
109738.0,109738.0,24548.26164031694, 131971.6998502456
11058.0,11058.0,6098.589446129705, 5014.601415753935
500000.0,500000.0,27774.650519942115, 459673.7287622924
500000.0,500000.0,32306.029506839706, 491386.6771657642
500000.0,500000.0,500000.0, 509392.1283863414
500000.0,500000.0,500000.0, 478602.24540875584
